Year,Department,Student Name,Enrollement ID,Graduation Type,Gender,Campus (On/Off),Company,Company Type,Position,CTC,Student Rejection
2017-01-01,Social Work,RAJ,Student03533,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Social Work,RAJ DUTTA,Student03537,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Social Work,RAJ KHOSLA,Student03542,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Social Work,RAJ KUMAR GUPTA,Student03545,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Social Work,RAJ SINGH VERMA,Student03553,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Social Work,RAJA KRISHNA,Student03560,UG,Male,Yes,Kaar,BPO,Process Executive,170000.0,No
2017-01-01,Maths,UJJAINI,Student06650,UG,Female,Yes,TCS,BPO,Process Executive,170000.0,No
2017-01-01,Maths,UMNIA,Student06651,UG,Female,Yes,TCS,BPO,Process Executive,170000.0,No
2017-01-01,Maths,VANITA,Student06659,UG,Female,Yes,Cognizant,BPO,Process Executive,170000.0,No
2017-01-01,Botany,PINAKINI,Student02226,PG,Female,Yes,AthenaHealth,CORE,Associate Engineer,175000.0,No
2017-01-01,Botany,PIYUSH PANJUANI,Student02228,PG,Female,Yes,AthenaHealth,CORE,Associate Engineer,175000.0,No
2017-01-01,Botany,POULOMI,Student02233,PG,Female,Yes,AthenaHealth,CORE,Associate Engineer,175000.0,No
2017-01-01,Physics,KISHORE SHARMA,Student00868,UG,Male,Yes,NIKE,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Physics,KRANTHI KUMAR,Student00876,UG,Male,Yes,NIKE,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Physics,KRISHNAKANT,Student00892,PG,Male,Yes,NIKE,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Physics,KRITN AJITESH,Student00897,PG,Male,Yes,NIKE,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Chemistry,SETHULAKSHMI,Student02090,UG,Female,Yes,L&T,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Chemistry,SHIKHA,Student02100,UG,Female,Yes,L&T,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Chemistry,SUSHMITA,Student02122,PG,Female,Yes,L&T,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Chemistry,TARANIJA,Student02133,PG,Female,Yes,L&T,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Chemistry,TASNIM,Student02136,PG,Female,Yes,L&T,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Chemistry,TAVANGI,Student02137,PG,Female,Yes,L&T,Manufacturing,Jr Engineer ,176000.0,No
2017-01-01,Commerce,S.P. MUNESHWAR,Student03846,UG,Male,Yes,BNY Mellon,BPO,Process Executive,180000.0,No
2017-01-01,Commerce,JASWANT GANGANI,Student03875,UG,Male,Yes,BNY Mellon,BPO,Process Executive,180000.0,No
2017-01-01,Commerce,JASWANT JHAVERI,Student03876,UG,Male,Yes,BNY Mellon,BPO,Process Executive,180000.0,No
2017-01-01,Commerce,JAYPRAKKASH SHAW,Student03890,UG,Male,Yes,BNY Mellon,BPO,Process Executive,180000.0,No
2017-01-01,Commerce,JIJU ANTONY,Student03899,UG,Male,Yes,BNY Mellon,BPO,Process Executive,180000.0,No
2017-01-01,Commerce,JITENDRA SINGH NARUKA,Student03904,UG,Male,Yes,BNY Mellon,BPO,Process Executive,180000.0,No
2017-01-01,Zoology,MANI NAIR,Student01022,UG,Female,Yes,Kaar,CORE,Associate Engineer,195000.0,No
2017-01-01,Botany,WARSAN,Student02181,UG,Female,Yes,Kaar,CORE,Associate Engineer,195000.0,No
2017-01-01,Botany,YAAVI,Student02185,UG,Female,Yes,Kaar,CORE,Associate Engineer,195000.0,No
2017-01-01,Botany,YASHASWINI,Student02187,UG,Female,Yes,Kaar,CORE,Associate Engineer,195000.0,No
2017-01-01,Botany,YUVRANI,Student02195,UG,Female,Yes,Kaar,CORE,Associate Engineer,195000.0,No
2017-01-01,Botany,ZUBI,Student02199,UG,Female,Yes,Kaar,CORE,Associate Engineer,195000.0,No
2017-01-01,Zoology,JAYANTIKA,Student02279,UG,Female,Yes,Kaar,CORE,Associate Engineer,195000.0,No
2018-01-01,PET,OJASVI,Student07439,UG,Female,Yes,NIKE,BPO,Process Executive,200000.0,No
2018-01-01,Philosophy,PRABHU,Student03378,UG,Male,Yes,Infosys,BPO,Process Executive,200500.0,No
2018-01-01,Philosophy,PIYUSH ALANKAR,Student03366,UG,Male,Yes,Kaar,BPO,Process Executive,203500.0,No
2018-01-01,Philosophy,PRABU SOLOMON,Student03380,UG,Male,Yes,TCS,BPO,Process Executive,203500.0,No
2018-01-01,Philosophy,PRASUN BANERJEE,Student03414,PG,Male,Yes,L&T,BPO,Process Executive,203500.0,No
2018-01-01,Physics,KISHORE AHIBASI,Student00860,UG,Male,Yes,NIKE,Manufacturing,Jr Engineer ,205000.0,No
2018-01-01,Physics,KISHORE KUMAR,Student00865,UG,Male,Yes,NIKE,Manufacturing,Jr Engineer ,205000.0,No
2018-01-01,Physics,KISHORE REGE,Student00866,UG,Male,Yes,NIKE,Manufacturing,Jr Engineer ,205000.0,No
2018-01-01,Physics,KRISHNA BHATT,Student00880,PG,Male,Yes,NIKE,Manufacturing,Jr Engineer ,205000.0,No
2018-01-01,Physics,KRISHNA KAPIL,Student00885,PG,Male,Yes,NIKE,Manufacturing,Jr Engineer ,205000.0,No
2018-01-01,Philosophy,SHAHID KAZMI,Student00185,UG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,No
2017-01-01,Philosophy,SHAMIM BHAGAT,Student00203,UG,Male,Yes,Accenture,BPO,Process Executive,210000.0,No
2018-01-01,History,RUKSANA,Student01369,UG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,History,JAHNAVI,Student01372,UG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,SARAYU,Student01632,UG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,SAYANTIKA,Student01635,UG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,Maths,BADULI,Student01955,PG,Female,Yes,Cognizant,BPO,Process Executive,210000.0,No
2018-01-01,English,PETER WASHINGTON,Student02434,UG,Male,Yes,TCS,BPO,Process Executive,210000.0,No
2018-01-01,English,JEREMY SANCHEZ,Student02442,PG,Male,Yes,TCS,BPO,Process Executive,210000.0,No
2018-01-01,English,JOSE HILL,Student02445,PG,Male,Yes,TCS,BPO,Process Executive,210000.0,No
2017-01-01,History,SUDHIR DALVI,Student02902,UG,Male,Yes,Accenture,BPO,Process Executive,210000.0,No
2017-01-01,History,SUNDER DAR,Student02928,UG,Male,Yes,Accenture,BPO,Process Executive,210000.0,No
2017-01-01,History,SUNIL MATHUR,Student02938,UG,Male,Yes,Accenture,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,PAWAN KUMAR SHARMA,Student03358,UG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,PIA SUKANYA,Student03363,UG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,PINAKI CHAUDHURI,Student03365,UG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,PIYUSH DINKER PANDYA,Student03367,UG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,PRATEEK CHAKRAVORTY,Student03417,PG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,PRATEEK VATS,Student03418,PG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,PRAVEEN DAMLE,Student03424,PG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,PRAVEEN MORCHHALE,Student03425,PG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,No
2018-01-01,PET,DANNY DENZONGPA,Student04904,UG,Male,Yes,TCS,BPO,Process Executive,210000.0,No
2018-01-01,PET,DARSHAN LAAD,Student04906,UG,Male,Yes,TCS,BPO,Process Executive,210000.0,No
2018-01-01,PET,DEBAKI BOSE,Student04915,UG,Male,Yes,TCS,BPO,Process Executive,210000.0,No
2018-01-01,PET,DEDIPYA JOSHII,Student04919,UG,Male,Yes,TCS,BPO,Process Executive,210000.0,No
2017-01-01,English,SARASWATHI,Student05309,UG,Female,Yes,Accenture,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,CHANDAVATI,Student06032,PG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,Philosophy,CHARUSHEELA,Student06036,PG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,PET,YASHASWINI,Student07416,UG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,PET,ZAKIAH,Student07426,UG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,PET,NEISHA,Student07430,UG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,PET,NITYASUNDARI,Student07436,UG,Female,Yes,Wipro,BPO,Process Executive,210000.0,No
2018-01-01,Zoology,MANJUL KAPOOR,Student01039,PG,Male,Yes,Kaar,CORE,Associate Engineer,215000.0,No
2018-01-01,Zoology,MANOJ SHARMA,Student01049,PG,Male,Yes,Kaar,CORE,Associate Engineer,215000.0,No
2018-01-01,Zoology,MANSI DOVHAL,Student01052,PG,Male,Yes,Kaar,CORE,Associate Engineer,215000.0,No
2019-01-01,Physics,KIRAN RAMSAY,Student00853,UG,Male,Yes,L&T,Manufacturing,Jr Engineer ,218000.0,No
2019-01-01,Social Work,JITU THAKAR,Student00677,UG,Male,Yes,BNY Mellon,BPO,Process Executive,220000.0,No
2019-01-01,Microbiology,AZIZ NASER,Student08609,PG,Male,Yes,BNY Mellon,CORE,Associate Engineer,225000.0,No
2019-01-01,Commerce,SORABJI KERAWALA,Student01098,PG,Male,Yes,Kaar,BPO,Process Executive,230000.0,No
2019-01-01,Tamil,VEDHA,Student01262,UG,Female,Yes,Cognizant,BPO,Process Executive,230000.0,No
2019-01-01,Tamil,VETASI,Student01267,UG,Female,Yes,Cognizant,BPO,Process Executive,230000.0,No
2019-01-01,Tamil,VIDUSHI,Student01268,UG,Female,Yes,Cognizant,BPO,Process Executive,230000.0,No
2019-01-01,Tamil,VIJETA,Student01271,UG,Female,Yes,Cognizant,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,IRSIA,Student01611,UG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,History,LOPAMUDRA,Student01665,PG,Female,Yes,Cognizant,BPO,Process Executive,230000.0,No
2019-01-01,History,MAANYATA,Student01669,PG,Female,Yes,Cognizant,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,SHASHI PAL,Student01847,PG,Male,Yes,Deloitte,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,SHASHILAL K. NAIR,Student01862,PG,Male,Yes,Deloitte,BPO,Process Executive,230000.0,No
2019-01-01,Political Science,BADULI,Student02100,PG,Female,Yes,GWC,BPO,Process Executive,230000.0,No
2019-01-01,Tamil,PRIYAMVADA,Student02608,PG,Female,Yes,Cognizant,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,PAPU BAHRUZ,Student03337,UG,Male,Yes,Deloitte,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,PARESH NAIK,Student03341,UG,Male,Yes,Deloitte,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,PARSHWANATH YESHWANT ALTEKAR,Student03346,UG,Male,Yes,Deloitte,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,PARVINDER SINGH WRAICH,Student03349,UG,Male,Yes,Deloitte,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,PAVAN KAUL,Student03352,UG,Male,Yes,Deloitte,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,PAVAN KUMAR,Student03354,UG,Male,Yes,Deloitte,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,SHRISHTI,Student05331,UG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Political Science,SHRIHITA,Student05703,UG,Female,Yes,Ford,BPO,Process Executive,230000.0,No
2019-01-01,Political Science,SHYAMAVATI,Student05708,UG,Female,Yes,Ford,BPO,Process Executive,230000.0,No
2019-01-01,Political Science,SINDU,Student05712,UG,Female,Yes,Ford,BPO,Process Executive,230000.0,No
2019-01-01,Political Science,SPRUHA,Student05717,UG,Female,Yes,Ford,BPO,Process Executive,230000.0,No
2019-01-01,Political Science,SUYASHA,Student05725,UG,Female,Yes,Ford,BPO,Process Executive,230000.0,No
2019-01-01,Political Science,TANISHKA,Student05729,UG,Female,Yes,Ford,BPO,Process Executive,230000.0,No
2019-01-01,Political Science,TARAKINI,Student05733,UG,Female,Yes,Ford,BPO,Process Executive,230000.0,No
2019-01-01,Political Science,TAVANGI,Student05738,UG,Female,Yes,Ford,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,GANGABHAVANI  S,Student05958,UG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,SHRUTHI ,Student05967,UG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,SINCHANA  S M ,Student05968,UG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,AANCHAL,Student05973,UG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,CHINMAYEE,Student08658,PG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,DAKSHAYINI,Student08661,PG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,DALEELA,Student08662,PG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,DEEYA,Student08666,PG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Philosophy,DRISHANA,Student08675,PG,Female,Yes,Wipro,BPO,Process Executive,230000.0,No
2019-01-01,Tamil,SHIV HARE,Student08896,PG,Male,Yes,TCS,BPO,Process Executive,230000.0,No
2019-01-01,Tamil,SHIV KUMAR PATHAK,Student08898,PG,Male,Yes,TCS,BPO,Process Executive,230000.0,No
2019-01-01,Tamil,SHIVAJI GANESAN,Student08903,PG,Male,Yes,TCS,BPO,Process Executive,230000.0,No
2019-01-01,Tamil,SHIVAM NAIR,Student08906,PG,Male,Yes,TCS,BPO,Process Executive,230000.0,No
2019-01-01,Microbiology,ARJUN RAO,Student04589,UG,Male,Yes,CAMS,CORE,Associate Engineer,235000.0,No
2019-01-01,Microbiology,AVTAR BHOGAL,Student08595,PG,Male,Yes,CAMS,CORE,Associate Engineer,235000.0,No
2019-01-01,Microbiology,AYUSH UPADHYAY,Student08602,PG,Male,Yes,CAMS,CORE,Associate Engineer,235000.0,No
2018-01-01,History,SATYANARAYANA,Student00158,PG,Male,Yes,Accenture,BPO,Process Executive,240000.0,No
2017-01-01,Maths,KEERTHI CHAWLA,Student00819,UG,Male,Yes,Cognizant,IT,Associate Data Analyst,245000.0,No
2017-01-01,Maths,KEVAL P. KASHYAP,Student00832,PG,Male,Yes,Cognizant,IT,Associate Data Analyst,245000.0,No
2017-01-01,Maths,KEWAL MISRA,Student00835,PG,Male,Yes,Cognizant,IT,Associate Data Analyst,245000.0,No
2017-01-01,MCA,SHEIKH FATTELAL,Student05267,PG,Male,Yes,GWC,IT,Associate Data Analyst,245000.0,No
2017-01-01,MCA,SHEKHAR KAPUR,Student05269,PG,Male,Yes,GWC,IT,Associate Data Analyst,245000.0,No
2018-01-01,Maths,KARAN MALHOTRA,Student00799,UG,Male,Yes,Cognizant,IT,Associate Data Analyst,268000.0,No
2018-01-01,Maths,KARANJEET SALUJA,Student00802,UG,Male,Yes,Cognizant,IT,Associate Data Analyst,268000.0,No
2018-01-01,Maths,KARANN RAJPOOT,Student00804,UG,Male,Yes,Cognizant,IT,Associate Data Analyst,268000.0,No
2018-01-01,Maths,KARUNESH THAKUR,Student00806,UG,Male,Yes,Cognizant,IT,Associate Data Analyst,268000.0,No
2018-01-01,Maths,KESHAV RATHOD,Student00824,PG,Male,Yes,TCS,IT,Associate Data Analyst,268000.0,No
2018-01-01,MCA,SHIKHA DEWAN,Student05279,PG,Male,Yes,L&T,IT,Associate Data Analyst,268000.0,No
2018-01-01,MCA,SHILPA RANADE,Student05281,PG,Male,Yes,L&T,IT,Associate Data Analyst,268000.0,No
2018-01-01,MCA,SHIROE BROTHERS,Student05286,PG,Male,Yes,L&T,IT,Associate Data Analyst,268000.0,No
2019-01-01,Maths,KHATUN,Student01749,PG,Male,Yes,Ford,IT,Associate Data Analyst,270000.0,No
2019-01-01,Maths,KEVAL SHAH,Student01740,PG,Male,Yes,TCS,IT,Associate Data Analyst,279000.0,No
2019-01-01,Maths,KEWAL SINGH,Student01743,PG,Male,Yes,TCS,IT,Associate Data Analyst,279000.0,No
2019-01-01,Statistics,B. MITRA,Student04700,UG,Male,Yes,Infosys,IT,Associate Data Analyst,279000.0,No
2019-01-01,Statistics,B.B. SINGH,Student04706,UG,Male,Yes,Infosys,IT,Associate Data Analyst,279000.0,No
2019-01-01,Statistics,B.K. ADARSH,Student04709,UG,Male,Yes,Deloitte,IT,Associate Data Analyst,279000.0,No
2017-01-01,History,ROGER ROBERTS,Student00013,UG,Male,Yes,Ford,BPO,Process Executive,195000.0,Yes
2017-01-01,Commerce,JOSE HILL,Student00020,UG,Male,Yes,Cognizant,BPO,Process Executive,195000.0,Yes
2017-01-01,English,SAJID KHAN,Student00063,UG,Male,Yes,Kaar,BPO,Process Executive,195000.0,Yes
2017-01-01,English,SAKTHI CHIDAMBARAM,Student00067,UG,Male,Yes,Kaar,BPO,Process Executive,195000.0,Yes
2017-01-01,History,SARMISTHA MAITI,Student00142,UG,Male,Yes,Ford,BPO,Process Executive,195000.0,Yes
2017-01-01,History,SATISH BHAKRI,Student00148,UG,Male,Yes,GWC,BPO,Process Executive,195000.0,Yes
2017-01-01,Social Work,KANGANA RANAUT,Student00779,PG,Male,Yes,NIKE,BPO,Process Executive,195000.0,Yes
2017-01-01,Social Work,KANJIBHAI RATHOD,Student00782,PG,Male,Yes,GWC,BPO,Process Executive,195000.0,Yes
2017-01-01,Social Work,YEKAPARNA,Student01741,UG,Male,Yes,NIKE,BPO,Process Executive,195000.0,Yes
2017-01-01,Economics,PANKAJ DHEER,Student03327,PG,Male,Yes,GWC,BPO,Process Executive,195000.0,Yes
2017-01-01,Economics,PANKAJ SHARMA,Student03333,PG,Male,Yes,Cognizant,BPO,Process Executive,195000.0,Yes
2017-01-01,Social Work,RAJ,Student03533,UG,Male,Yes,NIKE,BPO,Process Executive,195000.0,Yes
2017-01-01,Social Work,RAJ DUTTA,Student03537,UG,Male,Yes,Cognizant,BPO,Process Executive,195000.0,Yes
2017-01-01,Social Work,RAJ KHOSLA,Student03542,UG,Male,Yes,Accenture,BPO,Process Executive,195000.0,Yes
2017-01-01,Social Work,RAJ KUMAR GUPTA,Student03545,UG,Male,Yes,Accenture,BPO,Process Executive,195000.0,Yes
2017-01-01,Maths,UJJAINI,Student06650,UG,Female,Yes,GWC,BPO,Process Executive,195000.0,Yes
2017-01-01,Maths,UMNIA,Student06651,UG,Female,Yes,Ford,BPO,Process Executive,195000.0,Yes
2017-01-01,Maths,VANITA,Student06659,UG,Female,Yes,Cognizant,BPO,Process Executive,195000.0,Yes
2017-01-01,Botany,PINAKINI,Student02226,PG,Female,Yes,TCS,Manufacturing,Associate Engineer,200000.0,Yes
2017-01-01,Botany,PIYUSH PANJUANI,Student02228,PG,Female,Yes,Kaar,CORE,Associate Engineer,200000.0,Yes
2017-01-01,Botany,POULOMI,Student02233,PG,Female,Yes,L&T,CORE,Associate Engineer,200000.0,Yes
2017-01-01,Physics,KISHORE SHARMA,Student00868,UG,Male,Yes,Accenture,Manufacturing,Jr Engineer ,201000.0,Yes
2017-01-01,Physics,KRANTHI KUMAR,Student00876,UG,Male,Yes,Cognizant,Manufacturing,Jr Engineer ,201000.0,Yes
2017-01-01,Physics,KRISHNAKANT,Student00892,PG,Male,Yes,Kaar,Manufacturing,Jr Engineer ,201000.0,Yes
2017-01-01,Physics,KRITN AJITESH,Student00897,PG,Male,Yes,Accenture,Manufacturing,Jr Engineer ,201000.0,Yes
2017-01-01,Chemistry,SETHULAKSHMI,Student02090,UG,Female,Yes,TCS,CORE,Jr Engineer ,201000.0,Yes
2017-01-01,Chemistry,SHIKHA,Student02100,UG,Female,Yes,TCS,Manufacturing,Jr Engineer ,201000.0,Yes
2017-01-01,Chemistry,SUSHMITA,Student02122,PG,Female,Yes,Kaar,Manufacturing,Jr Engineer ,201000.0,Yes
2017-01-01,Chemistry,TARANIJA,Student02133,PG,Female,Yes,Accenture,Manufacturing,Jr Engineer ,201000.0,Yes
2017-01-01,Chemistry,TASNIM,Student02136,PG,Female,Yes,Accenture,Manufacturing,Jr Engineer ,201000.0,Yes
2017-01-01,Chemistry,TAVANGI,Student02137,PG,Female,Yes,NIKE,Manufacturing,Jr Engineer ,201000.0,Yes
2019-01-01,Botany,MAHESH CHANDRA,Student00744,PG,Male,Yes,AthenaHealth,CORE,Associate Engineer,210000.0,Yes
2019-01-01,Botany,NATWAR SHYAM,Student02761,PG,Male,Yes,AthenaHealth,CORE,Associate Engineer,210000.0,Yes
2019-01-01,Botany,CLETUS LINKON  DSA,Student02902,PG,Male,Yes,AthenaHealth,CORE,Associate Engineer,210000.0,Yes
2019-01-01,Botany,JOHNSON,Student02928,PG,Male,Yes,AthenaHealth,CORE,Associate Engineer,210000.0,Yes
2018-01-01,Philosophy,PIYUSH ALANKAR,Student03366,UG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,Yes
2018-01-01,Philosophy,PRABHU,Student03378,UG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,Yes
2018-01-01,Philosophy,PRABU SOLOMON,Student03380,UG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,Yes
2018-01-01,Philosophy,PRASUN BANERJEE,Student03414,PG,Male,Yes,Cognizant,BPO,Process Executive,210000.0,Yes
2018-01-01,PET,OJASVI,Student07439,UG,Female,Yes,Wipro,BPO,Process Executive,210000.0,Yes
2018-01-01,PET,ZAKIAH,Student07426,UG,Female,Yes,Kaar,BPO,Process Executive,213500.0,Yes
2018-01-01,PET,NITYASUNDARI,Student07436,UG,Female,Yes,GWC,BPO,Process Executive,213500.0,Yes
2019-01-01,Chemistry,TAPATI,Student01022,PG,Female,Yes,L&T,Manufacturing,Jr Engineer ,218000.0,Yes
2019-01-01,Chemistry,MUKESH SHARMA,Student02938,PG,Male,Yes,L&T,Manufacturing,Jr Engineer ,218000.0,Yes
2017-01-01,Botany,WARSAN,Student02181,UG,Female,Yes,L&T,BPO,Associate Engineer,220000.0,Yes
2017-01-01,Botany,YAAVI,Student02185,UG,Female,Yes,TCS,CORE,Associate Engineer,220000.0,Yes
2017-01-01,Botany,YASHASWINI,Student02187,UG,Female,Yes,Cognizant,CORE,Associate Engineer,220000.0,Yes
2017-01-01,Botany,YUVRANI,Student02195,UG,Female,Yes,TCS,BPO,Associate Engineer,220000.0,Yes
2017-01-01,Botany,ZUBI,Student02199,UG,Female,Yes,Accenture,Manufacturing,Associate Engineer,220000.0,Yes
2019-01-01,English,MATTHEW TURNER,Student03553,PG,Male,Yes,BNY Mellon,BPO,Process Executive,220000.0,Yes
2019-01-01,English,SARBJEET DHALIWAL,Student03560,PG,Male,Yes,BNY Mellon,BPO,Process Executive,220000.0,Yes
2018-01-01,Philosophy,PIYUSH DINKER PANDYA,Student03367,UG,Male,Yes,Infosys,BPO,Process Executive,223500.0,Yes
2018-01-01,PET,NEISHA,Student07430,UG,Female,Yes,GWC,BPO,Process Executive,223500.0,Yes
2019-01-01,Physics,KIRAN RAMSAY,Student00853,UG,Male,Yes,L&T,Manufacturing,Jr Engineer ,228000.0,Yes
2018-01-01,Physics,KISHORE AHIBASI,Student00860,UG,Male,Yes,GWC,Manufacturing,Jr Engineer ,228500.0,Yes
2018-01-01,Physics,KISHORE KUMAR,Student00865,UG,Male,Yes,Accenture,Manufacturing,Jr Engineer ,228500.0,Yes
2018-01-01,Physics,KISHORE REGE,Student00866,UG,Male,Yes,TCS,Manufacturing,Jr Engineer ,228500.0,Yes
2018-01-01,Physics,KRISHNA BHATT,Student00880,PG,Male,Yes,L&T,Manufacturing,Jr Engineer ,228500.0,Yes
2018-01-01,Physics,KRISHNA KAPIL,Student00885,PG,Male,Yes,Accenture,Manufacturing,Jr Engineer ,228500.0,Yes
